link,name,price
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/glenfiddich-21-year-old-gran-reserva"">Glenfiddich 21 Year Old</a>",, £150.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/glenfiddich-21-year-old-gran-reserva"">Glenfiddich 21 Year Old</a>",, £150.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/glenfiddich-21-year-old-gran-reserva"">Glenfiddich 21 Year Old</a>",, £150.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/glenfiddich-21-year-old-gran-reserva"">Glenfiddich 21 Year Old</a>",, £150.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/glenfiddich-21-year-old-gran-reserva"">Glenfiddich 21 Year Old</a>",, £150.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/glenfiddich-21-year-old-gran-reserva"">Glenfiddich 21 Year Old</a>",, £150.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/glenfiddich-21-year-old-gran-reserva"">Glenfiddich 21 Year Old</a>",, £150.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
"<a class=""product-item-link"" href=""https://www.whiskyshop.com/cask-treasures-caribbean-blended-rum"">Cask Treasures Caribbean Blended Rum</a>",,£40.00
